InvoiceNo,StockCode,CustomerID,InvoiceDate,Year,Month,YearMonth,Quantity,UnitPrice,Revenue,IsCancelled,Country
536401,20963,15862.0,2010-12-01 11:21:00,2010,12,2010-12,1,1.25,1.25,False,United Kingdom
536401,22428,15862.0,2010-12-01 11:21:00,2010,12,2010-12,2,6.95,13.9,False,United Kingdom
536408,84879,14307.0,2010-12-01 11:41:00,2010,12,2010-12,8,1.69,13.52,False,United Kingdom
536412,22940,17920.0,2010-12-01 11:49:00,2010,12,2010-12,1,4.25,4.25,False,United Kingdom
536522,84997D,15012.0,2010-12-01 12:49:00,2010,12,2010-12,1,3.75,3.75,False,United Kingdom
536522,84997C,15012.0,2010-12-01 12:49:00,2010,12,2010-12,1,3.75,3.75,False,United Kingdom
536531,22727,15485.0,2010-12-01 13:23:00,2010,12,2010-12,9,3.75,33.75,False,United Kingdom
536531,22726,15485.0,2010-12-01 13:23:00,2010,12,2010-12,9,3.75,33.75,False,United Kingdom
536532,20685,12433.0,2010-12-01 13:24:00,2010,12,2010-12,2,7.95,15.9,False,Norway
536539,82486,15165.0,2010-12-01 14:03:00,2010,12,2010-12,2,7.95,15.9,False,United Kingdom
536544,21977,,2010-12-01 14:32:00,2010,12,2010-12,1,1.28,1.28,False,United Kingdom
536563,22976,17760.0,2010-12-01 15:08:00,2010,12,2010-12,24,1.25,30.0,False,United Kingdom
536566,22805,16928.0,2010-12-01 15:21:00,2010,12,2010-12,9,1.25,11.25,False,United Kingdom
536592,21164,,2010-12-01 17:06:00,2010,12,2010-12,1,5.91,5.91,False,United Kingdom
536593,22366,16835.0,2010-12-01 17:15:00,2010,12,2010-12,2,7.95,15.9,False,United Kingdom
536594,21733,15235.0,2010-12-01 17:22:00,2010,12,2010-12,6,2.95,17.700000000000003,False,United Kingdom
536623,22815,15601.0,2010-12-02 10:39:00,2010,12,2010-12,24,0.42,10.08,False,United Kingdom
536623,82494L,15601.0,2010-12-02 10:39:00,2010,12,2010-12,12,2.95,35.400000000000006,False,United Kingdom
536632,79066K,14388.0,2010-12-02 11:02:00,2010,12,2010-12,10,0.85,8.5,False,United Kingdom
536742,22451,16916.0,2010-12-02 13:14:00,2010,12,2010-12,1,3.35,3.35,False,United Kingdom
536759,21844,16781.0,2010-12-02 14:26:00,2010,12,2010-12,6,2.95,17.700000000000003,False,United Kingdom
536778,15036,13138.0,2010-12-02 15:03:00,2010,12,2010-12,12,0.75,9.0,False,United Kingdom
536798,21877,17838.0,2010-12-02 15:55:00,2010,12,2010-12,6,1.25,7.5,False,United Kingdom
536819,22988,13402.0,2010-12-02 17:12:00,2010,12,2010-12,12,1.25,15.0,False,United Kingdom
536830,84077,16754.0,2010-12-02 17:38:00,2010,12,2010-12,2880,0.18,518.4,False,United Kingdom
536840,84991,12738.0,2010-12-02 18:27:00,2010,12,2010-12,24,0.55,13.200000000000001,False,Germany
